timestamp,session_id,agent_id,backend,model,path,stream,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,stop_reason,request_bytes,response_bytes,ttfb_ms,duration_ms,error_status,error_code,error_message,router_version,request_ref,response_ref,queue_ms,store_ms,queue_bytes,request_dict_id
2026-08-26T14:37:22.220+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,167,335373,4607,tool_use,1070354,7590,2113,3541,ok,,,0.1.0,req-801,resp-914,0,14,1077944,9dd33823
2026-08-26T14:37:27.319+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1216,339980,281,tool_use,1071110,66366,2160,18130,ok,,,0.1.0,req-802,resp-915,0,14,1137476,9dd33823
2026-08-26T14:37:45.530+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,728,340261,1298,end_turn,1075425,5642,2075,12110,ok,,,0.1.0,req-803,resp-916,0,12,1081067,9dd33823
2026-08-26T14:37:57.694+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,504,13,341559,728,end_turn,1079046,1644,2353,3174,ok,,,0.1.0,req-804,resp-917,0,13,1080690,9dd33823
2026-08-26T14:39:10.578+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,327,342287,21,tool_use,1077688,5336,2197,5787,ok,,,0.1.0,req-805,resp-918,0,17,1083024,9dd33823
2026-08-26T14:39:20.540+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,373,342308,914,tool_use,1080969,7681,2917,6807,ok,,,0.1.0,req-806,resp-919,0,12,1088650,9dd33823
2026-08-26T14:41:09.972+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,699,343222,793,tool_use,1083435,13132,1982,10686,ok,,,0.1.0,req-807,resp-920,0,19,1096567,9dd33823
2026-08-26T14:42:39.086+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,1,1179,344015,916,tool_use,1086939,21677,2533,14999,ok,,,0.1.0,req-808,resp-921,0,27,1108616,9dd33823
2026-08-26T14:42:54.120+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,818,344931,1253,tool_use,1091148,45127,2705,12750,ok,,,0.1.0,req-809,resp-922,0,19,1136275,9dd33823
2026-08-26T14:43:06.896+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,504,346184,893,tool_use,1093624,8808,2115,6831,ok,,,0.1.0,req-810,resp-923,0,21,1102432,9dd33823
2026-08-26T14:43:14.058+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,547,347077,579,tool_use,1095722,26720,2468,8596,ok,,,0.1.0,req-811,resp-924,0,33,1122442,9dd33823
2026-08-26T14:43:22.681+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,706,347656,622,tool_use,1097363,25456,2212,10593,ok,,,0.1.0,req-812,resp-925,0,13,1122819,9dd33823
2026-08-26T14:43:33.305+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,226,348278,783,tool_use,1099964,9980,2167,4398,ok,,,0.1.0,req-813,resp-926,0,14,1109944,9dd33823
2026-08-26T14:44:07.551+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1257,349061,319,tool_use,1100785,15703,2558,20003,ok,,,0.1.0,req-814,resp-927,0,21,1116488,9dd33823
2026-08-26T14:44:27.568+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,1,1233,349380,1462,tool_use,1106262,66204,2268,15907,ok,,,0.1.0,req-815,resp-928,0,17,1172466,9dd33823
2026-08-26T14:44:43.542+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,172,350842,1307,tool_use,1109884,6955,2442,4124,ok,,,0.1.0,req-816,resp-929,0,16,1116839,9dd33823
2026-08-26T14:44:58.953+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,667,352149,231,tool_use,1110522,8282,2254,12074,ok,,,0.1.0,req-817,resp-930,0,16,1118804,9dd33823
2026-08-26T14:45:23.571+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,821,352380,911,tool_use,1114266,43871,2452,12098,ok,,,0.1.0,req-818,resp-931,0,13,1158137,9dd33823
2026-08-26T14:45:35.694+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,1083,353291,896,tool_use,1116775,58762,2190,16702,ok,,,0.1.0,req-819,resp-932,0,17,1175537,9dd33823
2026-08-26T14:45:52.481+00:00,session-08,,anthropic,claude-opus-5,/v1/messages,true,2,875,354187,1152,end_turn,1120037,5934,1938,12364,ok,,,0.1.0,req-820,resp-933,0,32,1125971,9dd33823
2026-08-26T14:47:40.674+00:00,,,anthropic,,/api/hello,,,,,,,0,0,,242,ok,,,0.1.0,req-01,resp-01,0,0,0,9dd33823
2026-08-26T14:47:40.864+00:00,session-09,,anthropic,claude-opus-5,/v1/messages,false,,,,,,311,114,509,510,http_error,429,rate_limit_error: Error,0.1.0,req-821,resp-934,0,2,425,9dd33823
